,text
828,RT @LILOFANFICTION: The Golden Globes are presenting a Lifetime Achievement Award to Lindsay Lohan for aging a lifetime since her first film; her best role yet.
829,RT @SheWired: Lucy Liu and Debra Messing presenting. I think I've had this dream before. #goldenglobes
830,"I was in the other room when Jeremy Irons started to speak and I was all like ""OMG! Scar is presenting at the Golden Globes!"" #GoldenGlobes"
831,@goldenglobes great presenter and wonderful surprise to see President Clinton.
832,I hope one of the presenters turns out to be a LOOPER and closes their loop on stage. #goldnotsilver #goldenglobes
833,RT @SeanCrespo: I hope one of the presenters turns out to be a LOOPER and closes their loop on stage. #goldnotsilver #goldenglobes
834,RT @Team_TwilightBr: Adicionamos vídeo do Rob apresentando o Globo de Ouro! http://t.co/DgEmfMKJ #GoldenGlobes
835,RT @TheCookieButter: Oh no. Stallone and Schwarzenegger presenting next? They both always sound like they've got a mouth full of me. #GoldenGlobes
836,Rob Pattinson presented at Golden Globes😍 #unf
837,RT @RPLife: Added LQ Video of Rob presenting http://t.co/Fiq08m7i  via @Team_TwilightBr
838,RT @LILOFANFICTION: The Golden Globes are presenting a Lifetime Achievement Award to Lindsay Lohan for aging a lifetime since her first film; her best role yet.
839,Next up on the Golden Globes the award for the most unintelligible presentation with Arnold Schwarzenegger and Sly Stallone
840,@goldenglobes when will Lea Michele be presenting?
841,RT @cmfcknw: Stallone and Schwarzenegger are presenting an award together? Good luck making sense of that. #goldenglobes
842,RT @RPLife: Added LQ Video of Rob presenting http://t.co/Fiq08m7i  via @Team_TwilightBr
843,"RT @RPLife
Added LQ Video of Rob presenting http://t.co/PrpwUBXN  via @Team_TwilightBr"
844,RT @DanielleEliseP: Hahha Will Ferrell and Kristen Wiig presenting was probably the best thing that happened so far tonight #GoldenGlobes hilarious.
845,RT @RPLife: Added LQ Video of Rob presenting http://t.co/Fiq08m7i  via @Team_TwilightBr
846,RT @RPLife Added LQ Video of Rob presenting http://t.co/qU3TvTzL  via @Team_TwilightBr
847,RT @LILOFANFICTION: The Golden Globes are presenting a Lifetime Achievement Award to Lindsay Lohan for aging a lifetime since her first film; her best role yet.
848,RT @RobstenDreams: Added Video of Rob Presenting http://t.co/a7IR0ZWQ
849,RT @RPLife: Added LQ Video of Rob presenting http://t.co/Fiq08m7i  via @Team_TwilightBr
850,"RT @thelepper: I was in the other room when Jeremy Irons started to speak and I was all like ""OMG! Scar is presenting at the Golden Globes!"" #GoldenGlobes"
851,RT @TheCookieButter: Oh no. Stallone and Schwarzenegger presenting next? They both always sound like they've got a mouth full of me. #GoldenGlobes
852,RT @firefly125: 2:1 odds that we're not going to be able to understand what Sylvester Stallone and Arnold Schwarzenegger are presenting. #GoldenGlobes
853,Lucy Liu representing for the Asians! Could of picked a better dress tho! Floral barf! #GoldenGlobes
854,Kristin Wiig &amp; Will Ferrell are hilarious. fabulous presenters tonight! #GoldenGlobes
855,RT @SeanCrespo: I hope one of the presenters turns out to be a LOOPER and closes their loop on stage. #goldnotsilver #goldenglobes
856,RT @moviefone: Set your Closed Captioning: Arnie &amp; Stallone are presenting an award!  #GoldenGlobes http://t.co/Q834cOhM
857,big dudes presenting awards! http://t.co/mGMfyTJ9 #GetGlue @goldenglobes
858,Alright who has had more plastic surgery Arnie or Sly? Presenting foreign film. Oh boy #goldenglobes
859,"Que los presentadores de la plus, que se están luciendo, se permitan hacer bromas con la pronunciación de Sly y el Chuarche... #GoldenGlobes"
860,Who is presenting Best Foreign Film?  #GoldenGlobes
861,RT @kolchak: Schwarzenegger is presenting next. Turn on your captions! #goldenglobes
862,Now presenting the joke of the actor's community: Arnold Schwazsafnahgj #GoldenGlobes
863,"Wow, theses guys. Great choice for presenters. #goldenglobes"
864,@KTCarroll13 Sylvestor and Arnold are presenting at @goldenglobes together!
865,En los proximos Martin Fierro lo quiero ver al Cabezon Duhalde presentando la nominacion a programa de la tarde #GoldenGlobes
866,RT @adorocinema: Arnold Schwarzenegger e Sylvester Stallone apresentam Melhor Filme Estrangeiro! #GoldenGlobes
867,RT @TracyEGilchrist: Lucy Liu and Debra Messing presenting. I think I've had this dream before #goldenglobes
868,Ay!!! #losmercenarios presentando una categoría en los #GoldenGlobes
869,2 desnutridos presentando las nominaciones a mejor pelicula extranjera #GoldenGlobes.
870,Arnold and Sly...I feel less manly now..love they're presenting Best Foreign Film.. #GoldenGlobes
871,"No comment on these two presenters. Except, I could take them both #GoldenGlobes"
872,I miss Ricky Gervais presenting the #GoldenGlobes
873,RT @LaCasaDeCine: Rocky y Terminator presentaran el premio a Mejor Película Extranjera. #GoldenGlobes
874,Stallone y Schwarzenegger nuevamente juntos..ahora presentando un premio en #GoldenGlobes
875,Rob apresentando o #goldenglobes #robert #pattinson #perfect #handsome http://t.co/z1ueCmFK
876,Old men presenting. #GoldenGlobes
877,No one wants these wax figures striving for relevance presenting anything. It's been too long since we've seen Amy and Tina. #goldenglobes
878,STOP. Who is responsible for this Stallone/Schwarzenegger presentation? #GoldenGlobes
879,"#NewGoldenGlobeCategories 
""Best Presenter at Golden Globes""

#GoldenGlobes"
880,The presenters no one can understand. #GoldenGlobes
881,Parálisis facial y el gobernator presentando los #GoldenGlobes.
882,RT @RPLife Added better quality video of Rob presenting at the GGs http://t.co/qU3TvTzL  Scroll
883,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/2PLbVwIK
884,RT @RPLife Added better quality video of Rob presenting at the GGs http://t.co/8knJie59  Scroll
885,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/2PLbVwIK
886,Brilliant bit w/ Sly &amp; Arnold debating who's accent is more incoherent when presenting best foreign film. #goldenglobes
887,RT @Zap2itRick: Sly Stallone and Arnold Schwarzenegger are the least likely best foreign film presenters in the history of all awards shows. #GoldenGlobes
888,"Arnold presenting at the Golden Globes. The only thing to get @JeffTheHoffa to say ""Turn it up!"""
889,Rambo &amp; the terminator presenting an award... #creepy #GoldenGlobes
890,Sly &amp; Arnie presenting award for Best Foreign Film. That is taking the piss. #goldenglobes
891,Sylvester Stallone and Arnold Schwarzenegger as presenters...#throwbacksunday? #GoldenGlobes
892,"Arnold &amp; Sly presenting together? Thanks for stealing my joke about those 2 idiots being unintelligible, #GoldenGlobes joke writer."
893,"Para cuándo una stand ovation para Stallone y Arnold? Y no, lo de presentar peli extranjera NO es broma! #GoldenGlobes"
894,#globosdeoro #goldenglobes mejor peli habla no inglesa LOS PRESENTADORES y AMOR ! http://t.co/cvSIXJPu
895,#GoldenGlobes Conchetumare!! Rambo y Terminator presentando un premio!!!
896,@silversly: I wonder if anyone of the two presenters currently on stage can still get it up. #steroids #GoldenGlobes
897,RT @RobPattzNews: UPDATE: Added video (LQ) of Rob presenting award to Quentin Tarantino for Best Screenplay #GoldenGlobes http://t.co/lB1pt6Qt
898,Par de viejitos papeados presentando un premio! #GoldenGlobes
899,RT @Chaosmaster8753: Sylvester and Arnold presenting an award together. All you 80's folk must be somewhat amused. #GoldenGlobes
900,Two guys who can barely speak English are presenting best foreign film. Fitting. #goldenglobes
901,#GoldenGlobes best presenters of the night by a mile Arnie &amp; Sly but no nominations for The Expendables 2
902,Rambo and Terminator presenting an award lol! #GoldenGlobes
903,"RT @goldenglobes: Wow! Now that's a @goldenglobes presenter! It's the 42nd President of the United States, Bill Clinton! http://t.co/ncN5s7aA"
904,Silvester Stallone and Arnold Shwarzeneger together presenting= Epic!!! #GoldenGlobes
905,"RT @just_ramdeen: RT @goldenglobes: Wow! Now that's a @goldenglobes presenter! It's the 42nd President of the United States, ... http://t.co/dRnUftXM"
906,Arnold and Sly presenting foreign language is a propos bc no one knows what they're saying #GoldenGlobes
907,"Bueh, gano una pelicula austríaca presentada por un Austríaco #GoldenGlobes"
908,Well that was well planned! Arnold presents award to Austrian filmmaker. #goldenglobes
909,"RT @goldenglobes: Wow! Now that's a @goldenglobes presenter! It's the 42nd President of the United States, Bill Clinton! http://t.co/ncN5s7aA"
910,RT @The12Signs: The heavyweights presenting right now... Sylvester Stallone (#Cancer) and Arnold Schwarzenegger (#Leo). #GoldenGlobes
911,And presenting the Just For Men award for special acheivement in unnatural hair color... #GoldenGlobes
912,Whoever is behind the selection of presenters for the #GoldenGlobes is awesome. Rocky &amp; Terminator for Foreign Language - classic
913,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/ph2uWf9h
914,RT @RobPattzNews: UPDATE: Added video (LQ) of Rob presenting award to Quentin Tarantino for Best Screenplay #GoldenGlobes http://t.co/lB1pt6Qt
915,@Schwarzenegger presenting at the #GoldenGlobes!! And Austria wins. Good night for him I bet:)
916,RT @adorocinema: Arnold Schwarzenegger e Sylvester Stallone apresentam Melhor Filme Estrangeiro! #GoldenGlobes
917,So many political greats are presenting tonight! Clinton and Schwarzenegger? I bet Reagan is next! #GoldenGlobes
918,@Schwarzenegger awesome seeing you presenting an award on the @goldenglobes tonight!!! You are awesome!!  :)
919,Producers: let's cut to Marion Cotillard during the foreign globe presentation for variety. #goldenglobes
920,Mejor Película Extranjera: Amour. Presentado por Sylvester Stallone y Arnold Schwarzenegger #GoldenGlobes
921,NATHAN FILLION PRESENTING! #GoldenGlobes
922,I think tumblr may have picked winners and presenters tonight. #goldenglobes
923,"RT @EonlineLatino: El Ex Presidente de los Estado Unidos, Bill Clinton, presenta un preview de Lincoln de Steven Spielberg. #GoldenGlobes"
924,Nathan and Lea are presenting together :OOO #goldenglobes
925,Arnold Schwarzenegger's secretly been presenting at another award show this whole time. #GoldenGlobes
926,Lea Michele presenta un premio #GoldenGlobes
927,Lea Michelle presenting an award she will never be nominated for #GoldenGlobes
928,Arnold and Sylvester presenting Best Foreign Language award There's more juice on the stage right now than a tropicana carton! #goldenglobes
929,HE SHOULD BE PRESENTING THIS AWARD TO STANA!! #GoldenGlobes
930,Was I the only one chanting FIGHT! When Sylvester Stallone and Arnold Schwartzenegger presented together? #GoldenGlobes #youwerethinkingit
931,RT @adamzopf: Presenting Best Foreign Film... Two melted GI Joes in tuxedos. #GoldenGlobes
932,RT @galvao_matheus: Stallone e Arnold apresentando filme de melhor língua estrangeira é sensacional! #GoldenGlobes
933,#GoldenGlobes l Stallone e Schwarzenegger apresentando um prêmio juntos. http://t.co/SWTdlnH7 #OldButGold
934,Does anyone else keep seeing Marty McFly lurking behind the recipients/presenters at the #GoldenGlobes ??
935,#GoldenGlobes ojala que selena se haya podido presentar
936,The guy from Firefly is presenting this award with the color ORANGE #GoldenGlobes
937,Awww está Lea presentando :') #GoldenGlobes
938,"RT @JewdyGold: I impregnated the maid while my wife was with child, and now I'm a presenter at the Golden Globes!!!"
939,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/2PLbVwIK
940,Nathan Fillion! Right there! Cap'n Tightpants! Presenting! # GoldenGlobes
941,whoever thought to pair @TheSlyStallone  &amp; Arnold (@Schwarzenegger) as presenters = GENIUS! @goldenglobes
942,The love of my life and my nerdy hero are presenting #GoldenGlobes @msleamichele @NathanFillion
943,"RT @TheAdvocateMag: Presenter Jimmy Fallon arrived, is working the crowd. Fallon is a big LGBT supporter; always hosts out comics #GoldenGlobes"
944,@NathanFillion presenting and looking handsome #GoldenGlobes
945,Funniest presenters! Love #KristinWiig &amp; #WillFerrell! #goldenglobes http://t.co/ZCoQprSi
946,Interesting that the Austrian film would win with Arnold presenting #CinemitGG #GoldenGlobes
947,"Best Foreign Film presented by #Schwarzenegger and #Stallone, arguing about who is harder to understand. We declare it a tie. #GoldenGlobes"
948,Schwarzenegger and Sly Stallone presenting together makes me wonder what all the other Easter Island heads are doing tonight. #GoldenGlobes
949,RT @blissinlondon: D'awwwww RT @RPLife The video of Rob presenting is in HD http://t.co/3ACyuCDk
950,and there it is! “@RPLife: The video of Rob presenting is in HD http://t.co/JKh0nU6L”
951,@MicheleMahone are you watching the golden globes? @NathanFillion just presented! (:
952,"Stallone &amp; schwarzenegger presenting, the austrian wins, &amp; i didn't understand a word of it. #GoldenGlobes"
953,"Stallone and Schwarzenegger presenting Best Foreign Film at the #GoldenGlobes. 
Now that's funny!"
954,RT @insidethetube: Dude. AH-NOLD must be soooo stoked Austria is representing. #GoldenGlobes
955,"Claire Danes is representing for all the girls who refuse to fake and bake! Keep it real, Claire! #GoldenGlobes #6globes"
956,RT @SeanCrespo: I hope one of the presenters turns out to be a LOOPER and closes their loop on stage. #goldnotsilver #goldenglobes
957,RT @CinePREMIERE: Schwarzenegger y Stallone presentan Mejor película extranjera y aquí escribimos el nombre del exGobernador a la primera #GoldenGlobes
958,"Actually shaking because Nathan Fillion is presenting. You go, buddy!!!! #Castle #Firefly #GoldenGlobes"
959,RT @RPLife: The video of Rob presenting is in HD http://t.co/Fiq08m7i
960,RT @eonline: We're not sure what award J.Lo was presenting. We were a little distracted. #haygirl #GoldenGlobes http://t.co/gKPhfmwo
961,Hooray for Anne Hathaway! #bestsupportingactress #lesmis annnd for Robert Pattinson presenting :) #yummm #GoldenGlobes
962,"RT @Zap2it: Best Foreign Film presented by #Schwarzenegger and #Stallone, arguing about who is harder to understand. We declare it a tie. #GoldenGlobes"
963,Captain Hammer from @ActuallyNPH's Dr. Horrible's Sing-Along Blog just presented a golden globe. #GoldenGlobes
964,He terminado de morir. Lea y Nathan presentando un premio juntos! #GoldenGlobes
965,RT @RPLife: The video of Rob presenting is in HD http://t.co/Fiq08m7i
966,Robert Pattinson presenting at the Golden Globes 2013: http://t.co/HAJ6LInT vía @youtube &lt;3 &lt;3 PRETTY AWESOME!!!
967,Vídeo com apresentação do Robert em HD http://t.co/V8zyIo53
968,"OMG. A Selena en los Golden Globes la presentaron como ""la ex novia de Justin Bieber"". http://t.co/hDHg8CCV"
969,"INTERRUPCIÓN!!

Lea acaba de presentar en los Golden Globes el premio a ""Mejor actriz de drama en una serie de... http://t.co/1W2aeotv"
970,"so far catching up on #goldenglobes on my DVR &amp; it's like, the ""white people win awards"" show YAY WHITE PPL u r so underrepresented in media"
971,Has @jimmyfallon presented yet? #GoldenGlobes
972,"@goldenglobes Great, and even better presenters and speeches. #presidentClinton #jenniferLawrence #kristinWiig #willFarrell"
973,by the by #ferrell and #wiig wow...greatest presenting bit in 70 years of #goldenglobes #yougetouttahere
974,.@NathanFillion presenting like a boss #GoldenGlobes
975,Añadido video de la presentación de Robert en HD + Nuevas HQs http://t.co/MbRFz3fl
976,RT @YoshikiOfficial: http://t.co/CLvf9y3f　Golden Globes News! I'm presenting the award on stage!! Can't tell you what category but Watch the show!! Love you!
977,RT @vulture: So is every presenter going to sing Les Mis? (Not totally mad at that idea.) #goldenglobes
978,Literally crying cause I'm so proud of Lea like she presented at the Golden Globes that's a BIG deal
979,RT @LeamicheleArg: Lea tan LINDA!!!!!! en los GOLDEN GLOBES acaba de hacer la presentacion ^.^ aun en el escenario!! ya se va
980,Soy tan idiota que me mire todos los Golden Globes re aburridos para ver a Lea presentar y me la perdi.
981,RT @Sandraxf: And the ruggedly handsome @NathanFillion is finally on stage. Give that man an award for sexiest presenter please! #GoldenGlobes
982,RT @VanityFair: “What an exciting special guest. That was Hillary Clinton's husband!” - Amy Poehler on guest presenter/#GoldenGlobes star Bill Clinton
983,Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
984,I want to watch Kristen Wiig and Will Ferrell's award presentation OVER AND OVER AGAIN for the rest of my life. #GoldenGlobes
985,"Me lo perdí en la alfombra roja, pero sí lo vi presentando *-* Robcito lo mejor de los #GoldenGlobes"
986,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/2PLbVwIK
987,RT @ThinkingofRob: *UPDATE* added the LQ video of Rob presenting: http://t.co/tJCai6xk
988,I just saw Mark Andrews representing for Brave! Woot! Woot! #goldenglobes
989,So Arnold and Sly were making fun of accents while presenting foreign film awards.....yeeeeeah... way to go. #GoldenGlobes
990,"#goldenglobes...r Jerry brown and Linda ronstadt presenting ""best celebrity couple of the year"" ?"
991,Are you watching the Golden Globes? Scenes from the movie The Other Guys (starring globes presenter Will Farrell) were shot in Albany!
992,"RT @ROBsessedBlog: HD video of Robert Pattinson presenting adapted screenplay at the Golden Globes
http://t.co/zr4AUAWs So lovely &amp; cute &amp; dashing all in one"
993,RT @TodoTwilightSag: Añadido video de la presentación de Robert en HD + Nuevas HQs http://t.co/MbRFz3fl
994,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
995,RT @michaelbiette: Guys - those presenters aren't really Stallone and Schwarzenegger!  It's still Amy and Tina! #goldenglobes
996,RT @LeaMGleek: Literally crying cause I'm so proud of Lea like she presented at the Golden Globes that's a BIG deal
997,RT @LeaMGleek: Literally crying cause I'm so proud of Lea like she presented at the Golden Globes that's a BIG deal
998,RT @LOrealParisUSA: Our spokes @JLo is presenting Best Original Score - Motion Picture. Her wavy side part is THE Look for the night! #GoldenGlobes #GettheLook
999,"Lo había olvidado, la presentación de Kristen Wiig y Will Ferrell estuvo estupidísima. #GoldenGlobes"
1000,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/2PLbVwIK
1001,RT @SheWired: Everyone was so excited that Bill Clinton presented 'Lincoln'. But I'm way more amped for Hillary to introduce @GirlsHBO. #goldenglobes - KE
1002,Gifs and video of ROb presenting at the @GoldenGlobes now on master post  http://t.co/1KPqcxbu
1003,RT @IsabelaaFreitas: O cara sobe no palco pra apresentar tomando um drink HAHAHAHAHA ESSE APROVEITA A VIDA #GoldenGlobes
1004,Definitely was startled by Robert Pattinson's voice when he presented best screenplay. #forgothewasbritish #stupidtwilight #GoldenGlobes
1005,RT @IsabelaaFreitas: O cara sobe no palco pra apresentar tomando um drink HAHAHAHAHA ESSE APROVEITA A VIDA #GoldenGlobes
1006,Really enjoyed seeing Arnold @Schwarzenegger and Sylvester Stallone together on stage as #goldenglobes presenters. Legends. @TheSlyStallone
1007,RT @LOrealParisUSA: Our spokes @JLo is presenting Best Original Score - Motion Picture. Her wavy side part is THE Look for the night! #GoldenGlobes #GettheLook
1008,RT @IsabelaaFreitas: O cara sobe no palco pra apresentar tomando um drink HAHAHAHAHA ESSE APROVEITA A VIDA #GoldenGlobes
1009,Robert &amp; Amanda Presenting At The Golden Globes http://t.co/TF1cS53w
1010,"RT @Zap2it: Best Foreign Film presented by #Schwarzenegger and #Stallone, arguing about who is harder to understand. We declare it a tie. #GoldenGlobes"
1011,Presenting with a drink! My kind of show! #GoldenGlobes lol
1012,Oh and we're back to #GoldenGlobes with a drunk presenter I don't know the name of
1013,RT @nbc: Sacha Baron Cohen is bringing his A-game (and his brandy) to this next award presentation. #GoldenGlobes
1014,Buenooo Sacha Baron Cohen presentando las mejores peliculas de animacion #GlobosdeOro #GoldenGlobes
1015,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
1016,RT @IsabelaaFreitas: O cara sobe no palco pra apresentar tomando um drink HAHAHAHAHA ESSE APROVEITA A VIDA #GoldenGlobes
1017,What did that have to do with best animated feature? Great presenter choice... #GoldenGlobes
1018,"Sasha Baron Cohen, o eterno Borat, fazendo imitação na apresentação do prêmio de melhor animação. #GoldenGlobes"
1019,PIXAR REPRESENTINGGGG😍😍😍😍😍 #GoldenGlobes
1020,RT @KSturton: To Haneke! Sly Stallone &amp; Arnie just presented an award to Michael Haneke. Sweet Jesus. I can die now. Bliss. #goldenglobes
1021,RT @adorocinema: Sacha Baron Cohen apresenta o Oscar de Melhor Animação. E o vencedor é Valente. #GoldenGlobes
1022,RT @nbc: Sacha Baron Cohen is bringing his A-game (and his brandy) to this next award presentation. #GoldenGlobes
1023,Que tripeo los tweets de @lacosacine cada vez que aparecen nuevos presentadores xDDD #GoldenGlobes
1024,RT @todayshow: Tommy Lee Jones is not impressed! Actor's reaction to presenters' jokes is going viral. See here: http://t.co/2PLbVwIK
1025,None of these Golden Globes hosts or presenters have really made me question whether Hollywood or God is real.
1026,"Watching the Golden Globes with Sylvester Stallone and Arnold Schwarzenegger presenting an award and William, who... http://t.co/yWm3pZf9"
1027,RT @GleeIsAllINeed: [VIDEO] Lea Michele presenting at The Golden Globes. http://t.co/BYjKv7zB
1028,RT @_tepegoas7: O cara sobe no palco pra apresentar tomando um drink HAHAHAHAHA ESSE APROVEITA A VIDA #GoldenGlobes
1029,RT @nbc: Sacha Baron Cohen is bringing his A-game (and his brandy) to this next award presentation. #GoldenGlobes
1030,RT @JackShellWYCD: And the winner is: Sasha Baron Cohen for best presenter.  Hilarious.  #goldenglobes
1031,Anyone got a YouTube link for Nathan at the Golden Globes presenting the award?
1032,"Seventh Best Picture presentation, from Liev Schreiber, for ""The"" LIFE OF PI. #GoldenGlobes"
1033,Lea looked great and a good job presenting #goldenglobes
1034,Robert Pattinson Presenting at the Golden Globes http://t.co/nL1dXQtq
1035,70° ENTREGA DE LOS #GOLDENGLOBES: Se presenta la nominación de 'LIFE OF PI' de Fox 2000 Pictures y Twentieth Century Fox
1036,Liev Schreiber apresentar As Aventuras de Pi. #GoldenGlobes
1037,70° ENTREGA DE LOS #GOLDENGLOBES: Se presenta la nominación de 'LIFE OF PI' de Fox 2000 Pictures y Twentieth Century Fox
1038,This man is beyond faded presenting an award/workikg drink in his hand gone! #LifeIsGood #GoldenGlobes http://t.co/8cwpT0My
1039,"""La historia infilmable que Ang Lee ha convertido en obra maestra"" Liev Shreiber presenta #LaVidaDePi  #GlobosDeOro #GoldenGlobes"
1040,"Me: ""Why is Liev Schreiber presenting Life of Pi?"" @brianagler: ""Life, Liev..."" lol Yup, that's the same #GoldenGlobes"
1041,RT @IsabelaaFreitas: O cara sobe no palco pra apresentar tomando um drink HAHAHAHAHA ESSE APROVEITA A VIDA #GoldenGlobes
1042,Now presenting: Life of PI #GoldenGlobes (Eh talagang naaala ko lagi yung movie poster nina @paulignatius and @mr_perk c/o @JRhyan) :))
1043,Tina Fey and Amy Poehler's character work as all of these presenters has been incredible #GoldenGlobes
1044,Presentan Una Aventura Extraordinaria #LifeOfPiMovie #GoldenGlobes
1045,"#goldenglobes ""presenting our next award another hateful intolerant liberal""   obsessed with sara palin"
1046,Agregado Video + capturas de Rob presentando el Premio + 9 fotos en HQ! http://t.co/vrnOv2NX
1047,“@MeghanMannella1: Schwarzenegger presenting on the Golden Globes?!  #giveitup #fallengovernor” why are you watching Golden Globes? #URLame
1048,I wish @NathanFillion and Jason Bateman would have presented together #GoldenGlobes
1049,RT @adorocinema: Liev Schreiber apresentar As Aventuras de Pi. #GoldenGlobes
1050,Presenting an award must be so stressful if you know you have to make people laugh. #GoldenGlobes
1051,Is it just me or are the #GoldenGlobes really flipping amazing this year? Just like the atmosphere and the presenters...everything.
1052,"Omg, Sacha Baron Cohen was too funny presenting that award and ribbing his cast members!! #GoldenGlobes #LesMiserables"
1053,Tina y amy buenisimas presentadoras #GoldenGlobes
1054,Nathan Fillion presentatore dei Golden Globes. Fjienapjdox bellissimo in quello smoking. hdlskxnoshslsmbfo ancora più bello senza.
1055,"Mejor Actriz - Comedia o Musical de TV: Lena Dunham, Girls. Presentado por Jason Bateman y un hindú #GoldenGlobes"
1056,@GoldenGlobes Tina Fey y Amy Polher  totalmente hilarantes en sus presentaciones...
1057,RT @Shiba4NY: Sacha Baron Cohen presents for best animated feature film?? BTW: Brave won! #GoldenGlobes
1058,"Lena Dunham superou as apresentadoras da noite Tina Fey e Amy Poehler, q concorriam por 30 Rock e Parks and Recreation. #GoldenGlobes"
1059,Ya quiero ver a Robert Pattinson y a Selena Gomez presentando las categorias correspondientes Aww :3 #GoldenGlobes
1060,Some of these presenters at the #GoldenGlobes are not funny
1061,The presentation for Best Actress TV Comedy was funniest of the night thanks to @azizansari and congrats to @lenadunham. #goldenglobes
1062,RT @MelanieTait: The only presenters who would trump Mr Hillary are Honey Boo Boo and Mama June. Please let it happen. #goldenglobes
1063,Tommy Lee Jones expressions are hilarious!! Yay for Robert Downey Jr. presenting next!! #goldenglobes
1064,RT @sugarsammyk: Robert Downey Jr. presenting. This should be funny #hunch #hoping #GoldenGlobes
1065,#RDJ is presenting soon...I can't even handle it. #GoldenGlobes
1066,RT @rdjfilmguide: Robert Downey Jr is presenting next on the #GoldenGlobes Tune in now if you aren't already watching!
1067,RT @rdjfilmguide: Robert Downey Jr is presenting next on the #GoldenGlobes Tune in now if you aren't already watching!
1068,Arnold and Sly are better in movies than presenting.  But not much. #goldenglobes
1069,"Robert Downey, Jr. presenting the Cecil B. DeMille to Jodie Foster at the #GoldenGlobes next"
1070,RT @rdjfilmguide: Robert Downey Jr is presenting next on the #GoldenGlobes Tune in now if you aren't already watching!
1071,Really hoping Robert Downey Jr. does sum of those classic Iron Man bits when he presents #GoldenGlobes #gwynethpaltrow
1072,Presenters from Promise Land and House of Lies were paired together for the Golden Globes? #Coincidence #doubtful
1073,RT @rdjfilmguide: Robert Downey Jr is presenting next on the #GoldenGlobes Tune in now if you aren't already watching!
1074,Robert Downey Jr  presenting DeMille award to Jodie Foster to celebrate her career. Still time to catch it. @goldenglobes @BootsandHearts
1075,RDJ is presenting next.  My night will be made.  #GoldenGlobes
1076,"RT @AndresDiosdado: Baron Cohen, es la persona más políticamente incorrecta para presentar la Mejor Película Animada. Y si, lo hizo a su modo. #GoldenGlobes"
1077,RT @Zap2it: Lea Michele needs to lay off the spray tans. Good lord! She presents Best Actress in a TV Drama to Claire Danes for #Homeland. #GoldenGlobes
1078,Coming up next...Robert Downey Jr. presents the Cecil B. DeMille Award to the MILFtastic (and I mean it) Jodie Foster #goldenglobes
1079,RT @Twilight_Nusa: Video - Rob presenting at Golden Globe http://t.co/dSnJjafc
1080,RT @rdjfilmguide: Robert Downey Jr is presenting next on the #GoldenGlobes Tune in now if you aren't already watching!
1081,RT @MyworldNicholas: ¿Se acuerdan cuando los Jonas Brothers presentaron un premio en los Golden Globes en el 2009? Se veian perfectos.
1082,"I watch the presentation, critique the acts &amp; outfits, see the win, and stare into the fridge during the acceptance speeches. #goldenglobes"
1083,"RT @comingsoonnet: Robert Downey, Jr. presenting the Cecil B. DeMille to Jodie Foster at the #GoldenGlobes next"
1084,RT @Twilight_Nusa: Video - Rob presenting at Golden Globe http://t.co/dSnJjafc
1085,"Robert Downey, Jr. presenting the Cecil B. DeMille to Jodie Foster at the #GoldenGlobes next"
1086,I liked a @YouTube video http://t.co/CCggr9At Robert Pattinson presenting at the Golden Globes 2013
1087,"Detail here watching the Golden Globes, there are very good presentations"
1088,"@azizansari Oh yeah, another @URISEC @TheRyanCenter act just presented at the #GoldenGlobes"
1089,Gostei de um vídeo @YouTube http://t.co/MVZ3vaKv Pattinson presenting at the Golden Globes 2013
1090,Robert Pattinson presenting at the Golden Globes 2013: http://t.co/6jYXaEwZ
1091,"“@goldenglobes: Wow! Now that's a @goldenglobes presenter! It's the 42nd President of the United States, Bill Clinton!”

Amazing!"
1092,"RT @comingsoonnet: Robert Downey, Jr. presenting the Cecil B. DeMille to Jodie Foster at the #GoldenGlobes next"
1093,gente as apresentadoras são do SNL né  ????? #GoldenGlobes
1094,"#GoldenGlobes Tina And AMY Yeah!!!! Dont need so many presenters, TS stay away from MJF's Son!!!"
1095,"RT @FogelRivka: ""Our next presenter is an actor so versatile that he played Iron Man in three different movies"" -Tina Fey #goldenglobes"
1096,"Yo creo que la presentadora de los #GoldenGlobes deberia ser @itsmemartu , no me imagino persona mas adecuada que ella, para eso."
1097,"RT @media_reveries: Our next presenter is so versatile, he played Iron Man in 3 different movies: Robert Downey Jr. -Tina Fey #goldenglobes"
